time_iso8601,forks_cumulative
2025-04-01 00:00:00+00:00,1
2025-04-09 00:00:00+00:00,2
2025-04-16 00:00:00+00:00,3
2025-04-27 00:00:00+00:00,4
2025-05-13 00:00:00+00:00,5
2025-05-24 00:00:00+00:00,6
2025-07-01 00:00:00+00:00,7
2025-07-19 00:00:00+00:00,8
2025-09-24 00:00:00+00:00,9
2025-09-30 00:00:00+00:00,12
2025-10-01 00:00:00+00:00,14
2025-10-02 00:00:00+00:00,15
2025-10-05 00:00:00+00:00,16
2025-10-06 00:00:00+00:00,17
2025-10-07 00:00:00+00:00,20
2025-10-09 00:00:00+00:00,22
2025-10-10 00:00:00+00:00,23
2025-10-16 00:00:00+00:00,24
2025-10-17 00:00:00+00:00,25
2025-10-22 00:00:00+00:00,27
2025-10-23 00:00:00+00:00,28
2025-10-24 00:00:00+00:00,29
