url_path,views_total,views_unique
/shalenMathew/Quotes-app,179,126
/shalenMathew/Quotes-app/issues,34,14
/shalenMathew/Quotes-app/tree/master/app,30,26
/shalenMathew/Quotes-app/tree/master/app/src,27,24
/shalenMathew/Quotes-app/tree/master/app/src/main,26,23
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,25,19
/shalenMathew/Quotes-app/releases,17,8
/shalenMathew/Quotes-app/pulls,17,4
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/data,14,11
/shalenMathew/Quotes-app/issues/127,14,5
