time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,75,25,38,7
2026-04-15 00:00:00+00:00,52,17,3,3
2026-04-16 00:00:00+00:00,178,25,1,1
2026-04-17 00:00:00+00:00,37,14,3,2
2026-04-18 00:00:00+00:00,56,23,2,1
2026-04-19 00:00:00+00:00,61,31,2,1
2026-04-20 00:00:00+00:00,66,38,1,1
2026-04-21 00:00:00+00:00,51,31,5,4
2026-04-22 00:00:00+00:00,122,41,11,2
2026-04-23 00:00:00+00:00,87,33,6,3
2026-04-24 00:00:00+00:00,91,31,10,5
2026-04-25 00:00:00+00:00,66,30,34,4
2026-04-26 00:00:00+00:00,26,10,6,4
2026-04-27 00:00:00+00:00,124,35,6,6
