time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-28 00:00:00+00:00,5,3,0,0
2025-05-29 00:00:00+00:00,0,0,7,1
2025-05-30 00:00:00+00:00,0,0,24,2
2025-05-31 00:00:00+00:00,0,0,4,2
2025-06-01 00:00:00+00:00,0,0,19,2
2025-06-02 00:00:00+00:00,0,0,5,3
2025-06-03 00:00:00+00:00,1,1,70,5
2025-06-04 00:00:00+00:00,3,2,6,5
2025-06-05 00:00:00+00:00,10,7,2,2
2025-06-06 00:00:00+00:00,4,3,24,5
2025-06-07 00:00:00+00:00,1,1,1,1
2025-06-08 00:00:00+00:00,2,2,19,7
2025-06-09 00:00:00+00:00,0,0,33,8
2025-06-10 00:00:00+00:00,7,3,0,0
2025-06-11 00:00:00+00:00,90,18,13,2
